sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,action
0,0,0,0,0,right
0,0,0,0,0,right
0,0,0,0,0,right
0,0,0,0,0,right
0,0,0,0,0,right
0,0,0,0,0,right
0,0,0,0,0,right
0,0,0,0,0,right
0,0,0,0,0,right
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
48.34885464139593,40.079162569020596,36.960856582381936,37.540603068665774,41.814664443904405,right_forward
39.95880620540936,34.6037918572881,33.098298190846926,34.63077956663363,40.0273617210455,right_forward
33.29328625648372,29.922884695387225,29.552048175671917,31.997251141675637,38.54895559194057,right_forward
27.686524618438412,25.77778806410194,26.32569564498977,29.525977843891205,37.43536956710212,forward
23.78461289403803,22.13705726991735,22.589610456029583,25.344730579882484,32.040580815972284,forward
19.766980768580286,18.41829292228129,18.84209857478959,21.11642198855135,26.770087234909386,forward
15.845476725352636,14.764350470994906,15.1040787624074,16.927206894143527,21.45926073296234,left_forward
12.510993382507001,11.24891133509214,11.04619027094544,11.953439365708382,14.493827850571632,left_forward
8.797949412660554,7.6296953317232905,7.306193470768132,7.635344056383385,8.812512551928602,left_forward
4.6476704157301825,3.8778846626215007,3.5869901218204454,3.5869901218204454,4.016679308397503,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
40.25782948467306,44.71199543631748,55.93241289265552,84.85290262469584,100,right_forward
38.84480634979745,44.84333560058596,59.29436011352404,100,100,right_forward
38.1803904128591,45.979315873750835,65.07563251213848,100,100,right_forward
38.31431814950418,48.36566476882983,74.84188563914742,100,46.93742845985207,right_forward
39.31222267589408,52.653271602616286,92.00435566483301,100,31.919006805447804,right_forward
41.58638263355279,59.76824045202579,100,100,25.139052906671015,right_forward
45.3869050964893,71.53364096961941,100,58.564003362757234,20.74779558473067,right_forward
51.40952440284509,92.48119571591589,100,35.693371704156526,17.369837638769198,right_forward
61.005829736344865,100,100,24.99176370978411,14.551749478246558,right_forward
76.68958813562773,100,47.38897361223576,18.268221487342668,11.95691469155827,right_forward
100,100,26.15744220662721,13.319255492022647,9.463730986125531,right_forward
100,70.87961339713425,15.981380471829901,9.556766094438657,7.269470721324371,right_forward
100,22.196928651546628,8.955235565147406,6.029988443262363,4.806246422529226,right_forward
100,7.203385829702999,3.786656153953267,2.800052616077622,2.364942143220013,forward
100,0.10686330535756738,0.10686330535756738,0.10686330535756738,0.10686330535756738,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
40.95314795111319,89.78244421619073,74.65782292844821,69.21435939746834,70.36804957084324,forward
36.85445194039564,85.07510128604773,70.6964510656586,65.55201093497568,66.56252613504086,forward
33.04372084971476,80.54792141901112,66.96625745441045,62.05209696926568,63.11911885597999,forward
29.139437084023232,76.09053109160045,63.219286279375694,58.56749561342076,59.59475623181103,forward
25.301784547614478,71.51887870586967,59.48426462582008,55.10569452045185,56.074583214615245,forward
94.71642501758474,67.07393025166817,55.7294835700949,51.691962562326815,52.555233034352675,right_forward
76.01325764035943,57.63440257470677,49.97326025455783,47.899862174284365,50.26678195405852,right_forward
62.37834452752536,49.92385608810747,44.88641592521923,44.4926032671344,48.266527777814275,right_forward
51.88632487514275,43.5092292028107,40.60608237985134,41.436117056847806,46.71661797043152,right_forward
43.61276394526385,38.10663417559293,36.761357207194976,38.84516894667284,45.39801178496764,forward
39.135753388675774,34.237339155673695,33.02454888228987,34.85761021065333,40.833138749033225,forward
34.66484287485428,30.350629419015238,29.28160828860954,30.8887366805035,36.19184046059512,forward
30.269517128554547,26.481895381573302,25.544997503255544,26.959488770867825,31.48696180369527,forward
25.861792413876586,22.61316134413136,21.808386717901552,23.03024086123215,26.91938119235365,forward
21.36746959993709,18.715678100544718,18.06183341811426,19.037038786784215,22.324348884826243,forward
16.944988405632788,14.842045144092273,14.323528409527556,15.096892966708266,17.703819876631368,forward
12.522507211328485,10.968412187639828,10.58522340094098,11.156747146632064,13.008327668787452,forward
8.100026017024184,7.094779231187385,6.846918392354276,7.216601326555992,8.414272859019267,left_forward
3.9563832408082185,3.3365400631228113,3.1179158179358595,3.1179158179358595,3.5351618136047662,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
40.093723155576285,43.69395978486287,53.06549035020329,76.22357785710717,100,forward
37.351971950459756,40.616428559782015,49.309722441990516,70.81673595657259,100,forward
34.52252810424505,37.5390934269023,45.586622509028274,65.51165819811477,100,forward
31.64895104322766,34.40189952359194,41.82315922587633,60.12949854171536,100,forward
28.86367213862412,31.384202589967742,38.0467975211823,54.71038054929089,100,forward
25.94796607670865,28.211626719363643,34.33603047069285,49.386003828285,100,forward
23.159941002341938,25.178899559623474,30.62121419936541,43.95020252416144,92.92860273280559,forward
20.371915927975376,22.14617239988357,26.823354528555107,38.61914676125467,81.52726622456044,forward
17.545973905380595,19.07397744373841,23.104739762931843,33.15989054675566,70.20889793970038,forward
14.716702298606698,15.998316719470157,19.379122447775632,27.812889729725153,58.799187750433894,forward
11.800780245460617,12.832461442748757,15.653505132619673,22.46588891269449,47.400073241211864,forward
8.992131904890325,9.778267500744484,11.927887817463464,17.11888809566396,36.02244639761783,forward
6.183483564320033,6.724073558740342,8.106780152940006,11.698401955349963,24.683203597064654,forward
3.3748352237497414,3.6698796167361962,4.424536254807009,6.300822127506958,13.32350125468712,right_forward
0.8454845420626249,0.9606564846001504,1.1191704470070007,1.7628995028294412,5.250319243522718,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
55.964873127346806,67.47274103649951,62.38761830400549,47.39467075589462,40.58422254637151,right_forward
60.67007543881644,63.69068664555173,52.4867438227909,41.351310577517125,36.82228765205804,right_forward
60.630728073297874,57.430905195636974,43.63884680672732,36.12606237691398,33.24908031567721,right_forward
57.452189261166865,48.38825006916663,36.46847646682821,31.397252229691215,30.04471436839238,forward
53.84091993066493,43.53536514523923,32.66542654251191,28.23527993052228,26.967310361965765,forward
49.959383845489576,38.58169399300621,28.963364505401817,25.023001243396955,23.890107408028598,forward
45.74956847578847,33.55527363873508,25.261302468291614,21.810722556271624,20.812904454091562,forward
41.269370766013296,28.60526031560042,21.435338177559693,18.551329701921023,17.735476683659492,forward
36.2839999714143,23.642039876337073,17.716151308025758,15.33253925092587,14.658242657286817,forward
30.54559540890992,18.58471970146943,13.996964438491698,12.113748799930693,11.581008630914095,forward
23.561420508199646,13.646502862281546,10.277777568957765,8.894958348935619,8.503774604541396,left_forward
21.545535315475913,10.570182808066964,7.379235087079195,6.143635899548553,5.670692438393445,left_forward
19.095942020170497,6.894082778837127,4.411122339615705,3.5227723214865776,3.1140547906451097,left_forward
15.293419881133008,2.3333684083944455,1.3433593632044634,1.0261105974099358,0.8630032889632808,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,left
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
9.953364693417175,19.78642010099554,28.60171511839852,37.51647404694331,60.73048424052202,forward
11.402238859758736,17.833100363429644,24.87227509324543,32.74799141369832,52.95570496918998,forward
11.135513828019354,15.589974467488226,21.15314980023119,27.90609454218501,45.136219198077455,forward
10.090323631957009,13.167656631368372,17.379226027462654,23.028415203159692,37.28497586890626,forward
8.51088817727856,10.555695969846557,13.710469013770117,18.245464380234438,29.426352580495685,forward
6.5264489550701335,7.790835644578767,9.926401000520698,13.346580330919,21.673451951007358,forward
4.346743189958545,4.993347155539428,6.241660595758361,8.535438707546287,13.840986748722784,forward
1.803431347316831,2.0313960975156995,2.4936796927202565,3.44574194526826,5.940876339039708,forward
0,0,0,0,0,forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,forward
0,0,0,0,0,forward
100,53.37772164870309,43.113901817679654,39.221512040585864,39.10804706677072,forward
100,48.67707291705263,39.378062590352826,35.78632540542402,35.691341517698845,forward
100,44.053676881250325,35.72617956553148,32.43840263334245,32.25893021425689,forward
58.510082687824934,39.50911676789443,31.97716422075634,29.04230206744019,28.95600678062126,forward
51.62421572793932,34.8194558489606,28.245126883599482,25.648785575322854,25.572261382302333,forward
44.81688128688826,30.241764125601975,24.45024297358352,22.201972088900206,22.148195209149943,forward
37.90997885908788,25.64825857017202,20.75704552654099,18.8582663738085,18.80272286408425,forward
31.08703699526625,20.944631699481018,17.02124510790441,15.464203412200938,15.418656482510933,left_forward
30.607760585637006,18.613343385147186,14.304601051953274,12.542643559841263,12.114058782450442,left_forward
31.140972683735537,16.2298569374025,11.636993413084936,9.824994029241862,9.190966523147884,left_forward
34.432232311576456,13.568217166040322,8.98754053185433,7.137028599062946,6.505619033354199,left_forward
96.7781251085646,10.819893096962824,6.338316023865966,4.861982224415614,4.223978478606414,left_forward
100,7.262367189883392,3.592700676733834,2.6216345068371822,2.1916504197556606,left_forward
100,1.6699128983947702,0.6661795843396199,0.469045754457575,0.3584772951860167,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,forward
0,0,0,0,0,forward
0,0,0,0,0,right_forward
85.07018455347124,79.96031651169145,54.561452792779136,43.69156191418289,39.343694026566595,right_forward
83.23274132497893,63.870339736008205,45.851939863651516,38.424853226633346,35.85818316841114,right_forward
75.97512296549814,50.555044608795356,38.689119986974674,33.83701917306895,32.63188276166768,right_forward
60.115106865592885,40.46466546880939,32.70686254876158,29.670139258151647,29.549733068980643,right_forward
44.660556244679384,32.50979740388874,27.452598932183342,25.795634194015236,26.543198010565437,right_forward
33.48919733590397,25.954650450752947,22.85486854338691,22.171240282149945,23.557232557726362,right_forward
24.93269956595801,20.40177665365066,18.636064549152913,18.673527211904194,20.532533553595762,right_forward
18.26320841770011,15.534157083769403,14.709708455240827,15.217842315730833,17.336707477481426,right_forward
12.688870867299496,11.267036674840671,10.978978736449584,11.723636231725084,13.980933679155921,right_forward
7.940053166240725,7.297567542200662,7.411887266047019,8.11294448894432,10.167520087062288,right_forward
3.890947595377696,3.707437140555797,3.856001877235453,4.423871060580286,5.742575947187419,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,forward
0,0,0,0,0,forward
100,60.04431092445989,45.037132175121386,38.790788807632396,37.00339475440312,forward
95.47147834674676,55.08223427094099,41.321692343517284,35.57152544055356,33.933883380503005,forward
86.75044670942417,50.08377975534658,37.53851146773009,32.37762845668653,30.86477123087169,forward
78.0932243956343,45.06788550769274,33.8443517515404,29.130837396167646,27.7948462112141,forward
69.5161313625468,40.10953988689315,30.041130449097633,25.923638763782595,24.725529643393365,forward
60.824019510165456,35.0588802013566,26.340381329273647,22.716440131397487,21.65621307557268,left_forward
74.03100459599247,35.5026989640478,24.849059366314208,20.565442154175027,18.955824341420488,left_forward
100,37.29320577588552,23.837167485395142,18.740302225777565,16.68377252215935,left_forward
100,41.649645074807964,23.35134853094961,17.242641993553647,14.796278095074882,left_forward
100,51.70682202454861,23.628844167946973,16.293722876801258,13.374869035264496,left_forward
100,81.76285694358455,25.262853936159352,15.828247871409664,12.318266591050078,left_forward
100,100,29.414485627626966,16.052726702162683,11.699879352910639,left_forward
83.32617600285745,100,39.90895261906813,17.31558478799842,11.756334135049723,left_forward
67.15946054229792,100,75.09071228922498,20.43915747225399,12.53946909877528,left_forward
56.33107710826302,100,100,27.325610562823172,14.38645891453278,left_forward
48.30659213397898,79.45924444561335,100,43.94429305449697,17.89481195469136,left_forward
42.09503774771746,62.29449157694039,100,100,24.585851849209792,left_forward
36.976567323014415,50.619986396726304,93.60567910983586,100,37.76529006637365,left_forward
32.5679232350459,41.90779390701335,67.35214228401027,100,69.34196633548615,left_forward
28.70487989781754,35.05607617973407,51.07355221129821,100,100,left_forward
25.11388372969638,29.35357504677436,39.730314539827006,71.08906917599595,100,left_forward
21.70484171740867,24.4266130612281,31.140419124340244,48.99815541898958,100,left_forward
18.543819996789015,20.135198759967864,24.354553563537053,34.86140929630009,73.21024467958797,left_forward
15.352819063103128,16.08827700920942,18.63041701870014,24.956039456811595,43.34218788472717,forward
12.289001311368688,12.877690830017245,14.912519859260014,19.9757973015113,34.69279495601276,forward
9.225183559634248,9.667104650825076,11.19462269981994,14.915610619968698,25.96575138311458,forward
6.1613658078998075,6.4565184716329025,7.476725540379865,9.961919205591018,17.262077710845457,right_forward
3.343680276215455,3.6310077643941625,4.371606920541382,6.210652430220836,13.033270592025758,right_forward
0.8042441254619668,0.9123169869795689,1.0624116182422831,1.6686180680586062,4.907065098109964,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,forward
6.789190275687286,100,77.24383006775386,53.13820291085165,43.51637025360595,left_forward
11.721688475594856,100,91.0519135697688,56.861492477598304,44.210186034817255,left_forward
11.554067568220884,100,100,62.98760955420771,46.043353816657884,left_forward
10.576969159159306,46.717668907999894,100,72.78659828887531,49.34114548740641,left_forward
9.261165771762045,22.921992714660284,100,89.36373930095773,54.570672408409976,left_forward
7.815389397848243,14.879284880587168,100,100,62.63994015232451,left_forward
6.1983092597115785,10.159361747230907,37.87504247873068,100,75.54261319219442,left_forward
4.443551198519483,6.6004074028477575,15.17928287382798,100,96.84830006095837,left_forward
2.5543573152621875,3.5396651417823612,6.528779070868982,100,100,left_forward
0.5746230468322047,0.7677854032190083,1.2258080579047288,3.8759419572799914,100,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,left_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
0,0,0,0,0,right_forward
100,59.3295248573163,44.815822196600166,38.787788782167624,37.140672446238895,right_forward
72.82232984899633,47.91518251479094,38.29315226582861,34.44538729491376,33.95238256430443,forward
65.71609356894248,43.19686741885016,34.486029787137596,31.037751266669133,30.711393142759288,forward
58.56225457753802,38.58789995684136,30.817137744947306,27.72214818934274,27.313144099279455,left_forward
65.65955572767555,38.554569801018026,29.09109603555044,25.214975123340523,24.13839596732234,left_forward
79.93478439228642,39.447192917033505,27.762423587520004,23.103091108781253,21.381602863064153,left_forward
100,41.786234498769474,27.0254657804347,21.376716340009633,19.110572183502796,left_forward
100,47.00275307408942,26.875703421894627,20.101599840517135,17.238636648061632,left_forward
100,58.618820412813115,27.629278346660424,19.22899318311354,15.864269830750839,left_forward
100,90.95125808671149,29.965682453923144,19.00902518704974,14.88673948808496,left_forward
100,100,35.213059360687325,19.57316934243443,14.381336421799293,left_forward
79.96719902617716,100,47.55243189345059,21.31360287038253,14.610653867165238,left_forward
64.125164865996,100,85.29443483987012,25.14039838631007,15.626406876948828,left_forward
53.583424137550224,100,100,33.10920921793323,17.789237500389042,left_forward
45.82918384208239,76.38638708770884,100,51.41167938379933,21.832389595669397,left_forward
39.826184500418826,59.5191094524309,100,100,29.03820124500603,left_forward
34.847875945571545,48.09623461785708,90.75621015913003,100,43.044976250307144,left_forward
30.547928272090083,39.562897196924254,64.47320939408341,100,75.15769666042164,left_forward
26.678739279188385,32.88540583807635,48.37977489702105,100,100,left_forward
